Rainfall - (MM), Year, Month, Country, ISO3
159.309, 2011, Oct, Macau SAR China, MAC
141.568, 2011, Nov, Macau SAR China, MAC
1.52187, 2011, Dec, Macau SAR China, MAC
64.975, 2012, Jan, Macau SAR China, MAC
47.6531, 2012, Feb, Macau SAR China, MAC
33.0468, 2012, Mar, Macau SAR China, MAC
331.212, 2012, Apr, Macau SAR China, MAC
213.762, 2012, May, Macau SAR China, MAC
277.712, 2012, Jun, Macau SAR China, MAC
400.7, 2012, Jul, Macau SAR China, MAC
138.359, 2012, Aug, Macau SAR China, MAC
93.3249, 2012, Sep, Macau SAR China, MAC
55.3312, 2012, Oct, Macau SAR China, MAC
117.656, 2012, Nov, Macau SAR China, MAC
63.25, 2012, Dec, Macau SAR China, MAC
4.62187, 2013, Jan, Macau SAR China, MAC
4.2375, 2013, Feb, Macau SAR China, MAC
173.131, 2013, Mar, Macau SAR China, MAC
245.793, 2013, Apr, Macau SAR China, MAC
423.009, 2013, May, Macau SAR China, MAC
366.162, 2013, Jun, Macau SAR China, MAC
355.837, 2013, Jul, Macau SAR China, MAC
417.871, 2013, Aug, Macau SAR China, MAC
342.628, 2013, Sep, Macau SAR China, MAC
7.05312, 2013, Oct, Macau SAR China, MAC
92.7312, 2013, Nov, Macau SAR China, MAC
132.625, 2013, Dec, Macau SAR China, MAC
0.31875, 2014, Jan, Macau SAR China, MAC
42.1, 2014, Feb, Macau SAR China, MAC
198, 2014, Mar, Macau SAR China, MAC
129.74, 2014, Apr, Macau SAR China, MAC
449.487, 2014, May, Macau SAR China, MAC
279.887, 2014, Jun, Macau SAR China, MAC
225.081, 2014, Jul, Macau SAR China, MAC
446.5, 2014, Aug, Macau SAR China, MAC
96.9562, 2014, Sep, Macau SAR China, MAC
52.3875, 2014, Oct, Macau SAR China, MAC
56.0437, 2014, Nov, Macau SAR China, MAC
62.05, 2014, Dec, Macau SAR China, MAC
52.5656, 2015, Jan, Macau SAR China, MAC
36.3843, 2015, Feb, Macau SAR China, MAC
28.3531, 2015, Mar, Macau SAR China, MAC
78.6093, 2015, Apr, Macau SAR China, MAC
378.25, 2015, May, Macau SAR China, MAC
243.256, 2015, Jun, Macau SAR China, MAC
372.675, 2015, Jul, Macau SAR China, MAC
264.871, 2015, Aug, Macau SAR China, MAC
139.35, 2015, Sep, Macau SAR China, MAC
201.309, 2015, Oct, Macau SAR China, MAC
34.0875, 2015, Nov, Macau SAR China, MAC
73.6656, 2015, Dec, Macau SAR China, MAC
129.199, 2016, Jan, Macau SAR China, MAC
39.2812, 2016, Feb, Macau SAR China, MAC
196.862, 2016, Mar, Macau SAR China, MAC
226.75, 2016, Apr, Macau SAR China, MAC
225.634, 2016, May, Macau SAR China, MAC
432.29, 2016, Jun, Macau SAR China, MAC
257.165, 2016, Jul, Macau SAR China, MAC
550.837, 2016, Aug, Macau SAR China, MAC
247.837, 2016, Sep, Macau SAR China, MAC
374.028, 2016, Oct, Macau SAR China, MAC
145.912, 2016, Nov, Macau SAR China, MAC
14.05, 2016, Dec, Macau SAR China, MAC

