"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"889","1975","Azerbaijan",0.15281,0.21342,4.38157,13.2245,17.2327,23.0268,25.9308,24.0982,19.6506,11.6727,5.13105,-0.3844,16.0895,42.9265,29.0379,30.6679,62.748,45.979,11.1265,11.6177,45.3023,63.3735,31.3909,20.0121
"901","1976","Azerbaijan",0.47416,-3.6908,2.06467,11.7399,15.4813,20.7227,23.1617,25.5459,19.2344,10.9996,6.04124,2.55769,12.9264,39.5744,25.1187,55.3185,90.0596,35.1146,42.173,1.6436,41.274,55.2598,8.67634,21.9026
"913","1977","Azerbaijan",-5.5671,2.04297,6.07564,12.0425,16.7621,22.1071,23.8994,23.9053,19.6886,9.48371,7.34425,-0.1318,38.4511,13.8925,48.1693,50.0503,48.1786,72.8702,35.3924,35.7619,25.6492,55.0957,25.7045,30.4819
"925","1978","Azerbaijan",0.28557,2.11508,6.10989,10.6784,14.7384,18.9833,24.2727,23.2313,20.893,13.6485,3.85784,2.65891,35.9888,29.9671,35.5203,42.7688,93.879,75.9044,4.80827,6.95473,6.77103,21.048,49.451,35.7435
"937","1979","Azerbaijan",0.40903,2.81076,6.21416,11.5986,16.545,20.1386,24.4431,25.0698,21.2127,13.2574,7.88787,2.63296,13.7935,41.1259,40.1957,51.8575,47.3331,67.4318,16.2183,6.41769,4.06297,76.4086,35.5597,19.9872
"949","1980","Azerbaijan",-2.0113,-0.3391,3.91278,11.1586,16.4086,21.8092,26.212,23.6281,18.5986,11.6753,8.52559,4.14496,29.8868,29.9337,42.5628,61.9215,54.0674,38.8112,14.1517,24.7271,40.7128,35.9203,28.8171,19.0574
"961","1981","Azerbaijan",2.39065,3.24716,5.91474,9.8052,14.5447,21.0659,24.7063,23.8606,20.2647,14.2259,6.93037,4.70565,11.8092,28.4646,55.11,57.6923,90.0514,67.4473,33.3165,58.8629,19.0034,28.7686,54.9562,17.1447
"973","1982","Azerbaijan",-0.3487,-1.5758,3.15241,12.8063,16.3144,20.6569,23.9102,22.5973,19.6653,11.6356,4.1664,-1.3368,25.9086,27.8119,62.6035,41.9962,69.0303,57.641,43.256,38.5626,48.7684,84.709,51.4327,10.5051
"985","1983","Azerbaijan",-2.4112,0.959,3.95055,12.3901,17.4353,20.83,25.2237,23.484,18.588,12.3341,7.38685,1.64444,20.573,10.36,17.6019,35.5088,59.4264,71.1474,28.6852,44.8026,39.8347,24.2077,20.3139,10.8641
"997","1984","Azerbaijan",1.64934,-2.0751,4.88405,11.4984,15.0022,21.0446,25.2742,23.0674,20.405,12.5803,6.93148,-2.0618,17.5979,43.4864,46.5543,44.7632,65.0859,23.5817,22.1893,27.3609,14.6397,61.7066,43.3524,25.1894
"1009","1985","Azerbaijan",-0.4478,-0.1086,0.62767,12.088,17.9786,22.3152,22.9294,23.9944,19.902,11.5446,7.99088,0.93732,29.2255,52.7731,41.8704,58.4762,41.2496,25.121,35.0065,8.25022,10.1315,33.0556,16.5113,31.3347
"1021","1986","Azerbaijan",0.93475,0.76402,2.99702,12.6432,15.0961,21.0792,24.9646,24.9957,21.2879,12.8202,5.51635,0.88567,17.7692,30.472,25.0477,23.7126,65.2553,61.7553,17.2204,11.611,26.5954,34.4666,53.0344,12.3861
"1033","1987","Azerbaijan",2.39958,2.44343,3.22426,9.1125,17.4632,22.6838,24.5273,23.6797,18.4867,9.66869,5.7291,1.61588,14.1552,34.4164,62.7992,29.9675,30.0288,19.2958,26.0607,26.43,23.6859,97.444,21.3666,46.7535
"1045","1988","Azerbaijan",-0.9886,-0.0987,5.22587,11.8463,15.3604,22.0314,24.5196,22.9912,18.9774,13.2352,5.9644,2.67989,19.7113,23.3506,63.9801,45.2791,85.5761,63.9459,44.2514,51.1896,21.2583,41.7864,34.5076,26.8808
"1057","1989","Azerbaijan",-2.2205,-0.6346,7.01532,13.658,16.9497,22.5699,25.9708,25.3127,19.8098,13.315,7.67208,2.20277,16.8178,18.5348,24.455,14.7564,32.1325,23.5998,11.2434,21.0404,48.7001,61.8762,23.4203,24.6679
"1069","1990","Azerbaijan",-1.9387,0.97069,4.6384,11.0718,15.7484,21.8905,24.9652,23.313,20.525,12.6787,8.60627,1.77729,35.3551,23.6429,26.8489,79.7813,47.4787,30.6402,11.0183,16.788,9.74237,58.5474,22.9587,37.7469
"1081","1991","Azerbaijan",-0.2764,-0.3756,4.46319,12.1755,15.0303,21.4358,24.4576,24.7042,19.4359,14.1794,6.91285,0.32653,24.3325,26.3956,53.928,36.0959,65.1155,25.5918,27.4334,26.5746,5.8938,15.2655,52.4759,37.3132
"1093","1992","Azerbaijan",-1.9312,-0.826,2.69414,9.84773,13.8613,20.4972,23.4337,22.3757,18.3352,12.3765,6.5554,0.74481,19.5407,37.5342,17.8679,43.4689,46.5479,58.9637,38.518,17.1337,55.0278,28.1811,46.4956,39.6652
"1105","1993","Azerbaijan",-1.175,-1.3849,3.48336,10.3716,15.305,20.3907,23.4818,23.5127,19.2379,11.9323,3.21445,0.21699,28.6235,39.093,22.1949,46.9549,57.7443,64.3468,20.2977,26.7073,23.7883,22.9243,67.7451,10.8634
"1117","1994","Azerbaijan",0.88404,-1.001,4.84446,12.519,15.8452,20.2639,23.1524,23.3795,19.5612,13.397,6.96925,-1.2763,19.0779,32.0822,54.106,54.8232,60.1807,63.0943,9.71851,19.6623,17.0094,39.4011,60.9152,49.0661
"1129","1995","Azerbaijan",1.26628,2.72019,5.86762,11.9228,17.6159,21.7951,24.3502,24.8075,20.0485,11.788,7.72989,1.11185,20.1406,13.8009,40.9871,35.2003,29.1838,55.2556,18.3082,11.3894,73.795,30.6683,22.1306,17.618
"1141","1996","Azerbaijan",-0.2637,1.3422,3.645,9.59521,17.902,20.5981,25.3071,24.8358,19.808,12.9829,6.50776,4.90964,27.5829,25.664,35.936,51.237,37.5769,40.4679,22.5315,12.9993,42.4288,66.9561,10.2868,14.2111
