"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1081","1991","Egypt",12.8932,15.2755,19.2302,24.358,26.9296,28.9493,28.9942,29.0482,26.8694,24.8676,18.8467,12.1218,6.2689,4.61523,8.18645,2.50283,1.07103,1.30243,2.64647,1.88127,1.32517,2.26115,2.92694,8.42573
"1093","1992","Egypt",12.0013,11.8504,17.1157,21.4529,25.7932,30.0275,29.404,29.88,26.6192,25.3019,18.8195,13.0685,5.91832,6.49406,0.43636,1.14954,0.77791,1.92786,2.4909,1.99838,0.79386,0.24214,2.41454,5.17825
"1105","1993","Egypt",12.2876,13.2067,17.105,23.0815,25.9704,28.9659,29.39,30.1454,28.2008,26.3213,20.3106,16.421,3.84765,4.91653,0.74782,0.19474,20.1989,1.30439,2.44279,1.40455,0.79061,4.7442,0.5018,4.47208
"1117","1994","Egypt",14.7659,14.5589,17.2131,23.7021,26.6845,28.1613,29.9094,29.9002,28.8294,26.7687,17.9349,13.0212,8.10726,1.12499,3.53859,0.504,0.95792,1.29018,3.86952,1.46727,0.96778,5.00519,10.4974,4.137
"1129","1995","Egypt",13.1031,14.8999,18.4529,21.6456,25.7754,31.1377,30.4807,30.1798,29.2104,24.5325,17.2652,14.2929,1.0052,4.6474,1.20847,1.63924,0.95959,1.30764,2.75944,1.55201,1.68352,0.94816,2.06694,0.85773
"1141","1996","Egypt",13.916,15.6829,18.2587,21.4115,28.3495,28.5121,29.5949,30.203,29.6434,23.935,19.5111,15.0118,3.92626,1.06618,3.27342,2.25442,0.58514,1.29002,2.41815,1.37331,0.79516,1.20975,2.60112,1.12006
"1153","1997","Egypt",14.7196,12.9124,16.4837,21.2286,26.9125,29.5898,30.369,29.9039,27.3625,24.3136,19.4502,14.4013,3.862,2.84933,4.21092,0.77283,1.93075,1.824,2.53188,1.37305,1.31306,6.88818,1.07951,2.48236
"1165","1998","Egypt",13.5792,15.3839,16.2251,24.0845,27.7182,28.5872,30.5714,31.5233,29.3131,25.5166,19.9602,15.0794,2.35077,3.23532,2.65382,3.64956,11.397,1.28964,2.8925,3.33016,2.18281,0.27669,1.36996,3.96099
"1177","1999","Egypt",14.1599,16.1782,18.5814,22.1174,27.4668,28.7273,30.3,30.8718,29.0977,25.3235,19.9985,15.4581,1.45933,6.14986,0.34525,0.87614,3.92148,1.28941,2.75452,1.56583,1.30709,0.40461,0.79104,1.06074
"1189","2000","Egypt",13.0538,13.7269,16.6968,23.5811,26.4319,28.4729,30.6571,29.6492,28.2917,23.3489,19.3062,14.9318,8.79867,1.9672,0.94208,0.46715,1.39287,1.28941,2.51911,1.41707,2.09922,3.18534,4.34451,6.13581
"1201","2001","Egypt",14.0308,14.5315,20.818,23.3744,27.038,28.5581,30.357,31.1668,28.9182,24.0548,18.9644,14.7488,2.30453,1.98704,1.51554,1.02323,0.5685,1.28941,2.51285,1.41755,0.77372,0.86521,1.40814,3.16058
"1213","2002","Egypt",12.0321,16.2743,19.6139,22.6953,26.4601,28.7235,31.3281,31.0657,29.5923,25.1576,20.2104,15.1764,6.39406,5.24313,1.00755,1.13408,0.50675,1.29804,2.43717,1.54944,0.81303,6.49295,0.79751,3.44896
"1225","2003","Egypt",15.2634,13.829,16.3556,22.98,28.0538,29.9776,30.1941,30.7303,28.4695,25.8029,20.094,14.5854,1.60621,3.74258,3.40988,0.4427,0.56668,1.41158,3.09183,2.91996,0.78733,0.23788,0.98593,4.39334
"1237","2004","Egypt",13.6643,15.4948,19.581,22.6498,27.9011,28.8021,30.5443,29.9463,27.9362,25.4548,20.0271,14.7915,7.90062,3.5416,2.82262,0.3746,0.59284,1.28963,2.51388,1.61934,0.90617,0.32351,1.60803,2.82753
