"","Year","Country","Month","ISO3","Temperature","Rain"
"230","1920","Eritrea","Feb","ERI","20.5968","44.1204"
"231","1920","Eritrea","Mar","ERI","23.1437","7.14034"
"232","1920","Eritrea","Apr","ERI","26.1759","10.0366"
"233","1920","Eritrea","May","ERI","27.1954","17.9689"
"234","1920","Eritrea","Jun","ERI","29.2834","24.9812"
"235","1920","Eritrea","Jul","ERI","28.3294","126.496"
"236","1920","Eritrea","Aug","ERI","26.3083","133.262"
"237","1920","Eritrea","Sep","ERI","26.5823","24.3666"
"238","1920","Eritrea","Oct","ERI","26.4627","3.28122"
"239","1920","Eritrea","Nov","ERI","24.6913","7.3752"
"240","1920","Eritrea","Dec","ERI","22.4776","6.84343"
"241","1921","Eritrea","Jan","ERI","21.2608","3.34889"
"242","1921","Eritrea","Feb","ERI","21.2264","5.52766"
"243","1921","Eritrea","Mar","ERI","22.163","7.23451"
"244","1921","Eritrea","Apr","ERI","28.4971","2.45426"
"245","1921","Eritrea","May","ERI","27.8077","25.7047"
"246","1921","Eritrea","Jun","ERI","29.2939","14.4619"
"247","1921","Eritrea","Jul","ERI","28.6608","104.858"
"248","1921","Eritrea","Aug","ERI","26.8294","48.0414"
"249","1921","Eritrea","Sep","ERI","26.919","29.6197"
"250","1921","Eritrea","Oct","ERI","26.4762","5.38773"
"251","1921","Eritrea","Nov","ERI","25.0647","7.40504"
"252","1921","Eritrea","Dec","ERI","24.9571","2.73597"
"253","1922","Eritrea","Jan","ERI","23.0366","4.0723"
"254","1922","Eritrea","Feb","ERI","23.1749","1.38641"
"255","1922","Eritrea","Mar","ERI","23.2652","9.8126"
"256","1922","Eritrea","Apr","ERI","27.3071","2.23885"
"257","1922","Eritrea","May","ERI","27.6461","22.7998"
"258","1922","Eritrea","Jun","ERI","30.0966","21.9014"
"259","1922","Eritrea","Jul","ERI","27.2221","73.5141"
"260","1922","Eritrea","Aug","ERI","26.0241","137.108"
"261","1922","Eritrea","Sep","ERI","26.527","15.5425"
"262","1922","Eritrea","Oct","ERI","26.4931","1.20862"
"263","1922","Eritrea","Nov","ERI","26.1722","1.18103"
"264","1922","Eritrea","Dec","ERI","22.8256","5.06071"
"265","1923","Eritrea","Jan","ERI","24.913","0.45064"
"266","1923","Eritrea","Feb","ERI","21.8423","1.44545"
"267","1923","Eritrea","Mar","ERI","24.8728","7.24134"
"268","1923","Eritrea","Apr","ERI","25.5658","3.4956"
"269","1923","Eritrea","May","ERI","27.3691","22.0115"
"270","1923","Eritrea","Jun","ERI","29.2004","14.1704"
"271","1923","Eritrea","Jul","ERI","27.5155","95.4247"
"272","1923","Eritrea","Aug","ERI","26.0938","124.994"
"273","1923","Eritrea","Sep","ERI","27.0596","17.7205"
"274","1923","Eritrea","Oct","ERI","25.8024","6.11284"
"275","1923","Eritrea","Nov","ERI","24.3202","9.55863"
"276","1923","Eritrea","Dec","ERI","23.1441","8.96913"
"277","1924","Eritrea","Jan","ERI","23.0533","14.8127"
"278","1924","Eritrea","Feb","ERI","24.2685","2.74171"
"279","1924","Eritrea","Mar","ERI","26.392","6.35738"
"280","1924","Eritrea","Apr","ERI","27.365","6.02206"
"281","1924","Eritrea","May","ERI","27.4397","14.0262"
"282","1924","Eritrea","Jun","ERI","29.7842","11.6131"
"283","1924","Eritrea","Jul","ERI","27.9037","75.1875"
"284","1924","Eritrea","Aug","ERI","27.6121","78.5234"
"285","1924","Eritrea","Sep","ERI","26.7716","54.7683"
"286","1924","Eritrea","Oct","ERI","26.7327","17.9055"
"287","1924","Eritrea","Nov","ERI","24.8248","5.63563"
"288","1924","Eritrea","Dec","ERI","23.7079","5.41766"
"289","1925","Eritrea","Jan","ERI","19.332","3.94018"
"290","1925","Eritrea","Feb","ERI","20.8544","33.4053"
"291","1925","Eritrea","Mar","ERI","25.3776","1.01809"
"292","1925","Eritrea","Apr","ERI","27.0795","14.5356"
"293","1925","Eritrea","May","ERI","28.2215","5.73392"
"294","1925","Eritrea","Jun","ERI","29.112","21.8946"
"295","1925","Eritrea","Jul","ERI","28.6525","85.7518"
"296","1925","Eritrea","Aug","ERI","27.8562","70.1727"
"297","1925","Eritrea","Sep","ERI","28.3735","37.8091"
"298","1925","Eritrea","Oct","ERI","26.8365","12.2035"
"299","1925","Eritrea","Nov","ERI","25.546","13.0794"
"300","1925","Eritrea","Dec","ERI","24.4711","3.46565"
"301","1926","Eritrea","Jan","ERI","21.4008","6.88338"
"302","1926","Eritrea","Feb","ERI","22.5623","13.543"
"303","1926","Eritrea","Mar","ERI","23.2166","1.23837"
