Rainfall - (MM), Year, Month, Country, ISO3
57.4731, 2007, Nov, France, FRA
60.8331, 2007, Dec, France, FRA
80.6551, 2008, Jan, France, FRA
36.4331, 2008, Feb, France, FRA
82.8672, 2008, Mar, France, FRA
92.1459, 2008, Apr, France, FRA
105.785, 2008, May, France, FRA
63.9193, 2008, Jun, France, FRA
66.3293, 2008, Jul, France, FRA
75.8361, 2008, Aug, France, FRA
71.5124, 2008, Sep, France, FRA
96.3819, 2008, Oct, France, FRA
87.9717, 2008, Nov, France, FRA
73.7373, 2008, Dec, France, FRA
71.5613, 2009, Jan, France, FRA
53.9887, 2009, Feb, France, FRA
44.6546, 2009, Mar, France, FRA
84.8981, 2009, Apr, France, FRA
56.2537, 2009, May, France, FRA
75.7315, 2009, Jun, France, FRA
60.0363, 2009, Jul, France, FRA
36.2606, 2009, Aug, France, FRA
47.6264, 2009, Sep, France, FRA
53.806, 2009, Oct, France, FRA
109.689, 2009, Nov, France, FRA
103.608, 2009, Dec, France, FRA
60.0113, 2010, Jan, France, FRA
73.9496, 2010, Feb, France, FRA
63.2978, 2010, Mar, France, FRA
30.7474, 2010, Apr, France, FRA
78.0232, 2010, May, France, FRA
83.6204, 2010, Jun, France, FRA
45.0797, 2010, Jul, France, FRA
65.7436, 2010, Aug, France, FRA
68.2517, 2010, Sep, France, FRA
77.3454, 2010, Oct, France, FRA
102.21, 2010, Nov, France, FRA
85.5314, 2010, Dec, France, FRA
49.848, 2011, Jan, France, FRA
41.3523, 2011, Feb, France, FRA
49.717, 2011, Mar, France, FRA
20.5333, 2011, Apr, France, FRA
34.4148, 2011, May, France, FRA
70.4635, 2011, Jun, France, FRA
93.6293, 2011, Jul, France, FRA
75.4671, 2011, Aug, France, FRA
44.9747, 2011, Sep, France, FRA
49.2172, 2011, Oct, France, FRA
63.5508, 2011, Nov, France, FRA
124.24, 2011, Dec, France, FRA
53.477, 2012, Jan, France, FRA
10.6334, 2012, Feb, France, FRA
26.4511, 2012, Mar, France, FRA
116.997, 2012, Apr, France, FRA
80.209, 2012, May, France, FRA
85.6464, 2012, Jun, France, FRA
66.9175, 2012, Jul, France, FRA
43.6431, 2012, Aug, France, FRA
64.9893, 2012, Sep, France, FRA
119.235, 2012, Oct, France, FRA
84.3606, 2012, Nov, France, FRA
111.859, 2012, Dec, France, FRA
75.5269, 2013, Jan, France, FRA
59.2424, 2013, Feb, France, FRA
83.2043, 2013, Mar, France, FRA
81.5973, 2013, Apr, France, FRA
118.117, 2013, May, France, FRA
62.6676, 2013, Jun, France, FRA
67.9771, 2013, Jul, France, FRA
44.2524, 2013, Aug, France, FRA
69.6693, 2013, Sep, France, FRA
96.9653, 2013, Oct, France, FRA
108.247, 2013, Nov, France, FRA
72.8908, 2013, Dec, France, FRA
108.802, 2014, Jan, France, FRA
99.0963, 2014, Feb, France, FRA
36.0784, 2014, Mar, France, FRA
49.1349, 2014, Apr, France, FRA
74.7569, 2014, May, France, FRA
56.2304, 2014, Jun, France, FRA
110.278, 2014, Jul, France, FRA
89.2108, 2014, Aug, France, FRA
44.3141, 2014, Sep, France, FRA
74.1295, 2014, Oct, France, FRA
122.586, 2014, Nov, France, FRA
56.676, 2014, Dec, France, FRA
78.1193, 2015, Jan, France, FRA
64.1797, 2015, Feb, France, FRA
52.6017, 2015, Mar, France, FRA
57.0098, 2015, Apr, France, FRA
51.2777, 2015, May, France, FRA
59.6698, 2015, Jun, France, FRA
30.2518, 2015, Jul, France, FRA
90.988, 2015, Aug, France, FRA
78.3018, 2015, Sep, France, FRA
55.8297, 2015, Oct, France, FRA
59.0931, 2015, Nov, France, FRA
24.0576, 2015, Dec, France, FRA
105.525, 2016, Jan, France, FRA
93.3024, 2016, Feb, France, FRA
73.1815, 2016, Mar, France, FRA
74.5945, 2016, Apr, France, FRA
106.787, 2016, May, France, FRA
86.6589, 2016, Jun, France, FRA
34.7662, 2016, Jul, France, FRA
24.9382, 2016, Aug, France, FRA
39.8369, 2016, Sep, France, FRA
61.658, 2016, Oct, France, FRA
95.7876, 2016, Nov, France, FRA
18.733, 2016, Dec, France, FRA

