Rainfall - (MM), Year, Month, Country, ISO3
51.8353, 2012, Oct, Turkey, TUR
56.2459, 2012, Nov, Turkey, TUR
123.151, 2012, Dec, Turkey, TUR
85.1866, 2013, Jan, Turkey, TUR
66.3976, 2013, Feb, Turkey, TUR
53.1088, 2013, Mar, Turkey, TUR
55.8588, 2013, Apr, Turkey, TUR
47.8919, 2013, May, Turkey, TUR
27.2284, 2013, Jun, Turkey, TUR
11.1685, 2013, Jul, Turkey, TUR
8.99502, 2013, Aug, Turkey, TUR
15.7538, 2013, Sep, Turkey, TUR
41.545, 2013, Oct, Turkey, TUR
42.5583, 2013, Nov, Turkey, TUR
33.187, 2013, Dec, Turkey, TUR
53.7303, 2014, Jan, Turkey, TUR
22.878, 2014, Feb, Turkey, TUR
71.3331, 2014, Mar, Turkey, TUR
46.1619, 2014, Apr, Turkey, TUR
66.8054, 2014, May, Turkey, TUR
54.2137, 2014, Jun, Turkey, TUR
14.9179, 2014, Jul, Turkey, TUR
14.5529, 2014, Aug, Turkey, TUR
54.465, 2014, Sep, Turkey, TUR
62.3038, 2014, Oct, Turkey, TUR
63.12, 2014, Nov, Turkey, TUR
77.208, 2014, Dec, Turkey, TUR
83.7509, 2015, Jan, Turkey, TUR
77.0802, 2015, Feb, Turkey, TUR
90.022, 2015, Mar, Turkey, TUR
52.8774, 2015, Apr, Turkey, TUR
58.6251, 2015, May, Turkey, TUR
64.1286, 2015, Jun, Turkey, TUR
5.70675, 2015, Jul, Turkey, TUR
23.6806, 2015, Aug, Turkey, TUR
22.6611, 2015, Sep, Turkey, TUR
77.3092, 2015, Oct, Turkey, TUR
31.919, 2015, Nov, Turkey, TUR
28.5951, 2015, Dec, Turkey, TUR
108.679, 2016, Jan, Turkey, TUR
51.6272, 2016, Feb, Turkey, TUR
66.5048, 2016, Mar, Turkey, TUR
38.5997, 2016, Apr, Turkey, TUR
81.8116, 2016, May, Turkey, TUR
41.1345, 2016, Jun, Turkey, TUR
18.8159, 2016, Jul, Turkey, TUR
16.3991, 2016, Aug, Turkey, TUR
32.6062, 2016, Sep, Turkey, TUR
21.2068, 2016, Oct, Turkey, TUR
49.8653, 2016, Nov, Turkey, TUR
88.0863, 2016, Dec, Turkey, TUR

