"","Year","Country","Month","ISO3","Temperature - (Celsius)","Rainfall - (MM)"
"170","2005","Jordan","Aug","JOR","28.4703","0.04849"
"171","2005","Jordan","Dec","JOR","12.8508","11.5133"
"172","2005","Jordan","Feb","JOR","10.271","18.1378"
"173","2005","Jordan","Jan","JOR","9.6242","17.2328"
"174","2005","Jordan","Jul","JOR","28.2946","0.599"
"175","2005","Jordan","Jun","JOR","25.5506","0.03573"
"176","2005","Jordan","Mar","JOR","14.5646","13.8083"
"177","2005","Jordan","May","JOR","22.1239","2.23687"
"178","2005","Jordan","Nov","JOR","14.4893","8.56855"
"179","2005","Jordan","Oct","JOR","20.8028","3.63871"
"180","2005","Jordan","Sep","JOR","25.4552","0.08375"
"181","2006","Jordan","Apr","JOR","18.509","21.4554"
"182","2006","Jordan","Aug","JOR","28.7698","0.00854"
"183","2006","Jordan","Dec","JOR","8.93759","13.2971"
"184","2006","Jordan","Feb","JOR","11.6998","23.2732"
"185","2006","Jordan","Jan","JOR","9.4563","17.4709"
"186","2006","Jordan","Jul","JOR","27.3192","0.60623"
"187","2006","Jordan","Jun","JOR","26.9128","0.0018"
"188","2006","Jordan","Mar","JOR","14.5692","1.31249"
"189","2006","Jordan","May","JOR","22.8113","0.01674"
"190","2006","Jordan","Nov","JOR","13.8301","3.19572"
"191","2006","Jordan","Oct","JOR","21.6016","8.16945"
"192","2006","Jordan","Sep","JOR","26.1554","0.00093"
"193","2007","Jordan","Apr","JOR","17.3044","13.8608"
"194","2007","Jordan","Aug","JOR","28.3105","0.00322"
"195","2007","Jordan","Dec","JOR","10.5095","6.01849"
"196","2007","Jordan","Feb","JOR","11.2398","24.2981"
"197","2007","Jordan","Jan","JOR","8.61454","16.8187"
"198","2007","Jordan","Jul","JOR","28.4582","0.60281"
"199","2007","Jordan","Jun","JOR","26.6334","0.00221"
"200","2007","Jordan","Mar","JOR","13.514","13.7678"
"201","2007","Jordan","May","JOR","24.2565","8.90079"
"202","2007","Jordan","Nov","JOR","16.0542","8.39616"
"203","2007","Jordan","Oct","JOR","22.8978","0.37908"
"204","2007","Jordan","Sep","JOR","26.0247","0.00446"
"205","2008","Jordan","Apr","JOR","20.6298","0.14083"
"206","2008","Jordan","Aug","JOR","28.8631","0.02178"
"207","2008","Jordan","Dec","JOR","11.5673","8.37623"
"208","2008","Jordan","Feb","JOR","9.73828","12.196"
"209","2008","Jordan","Jan","JOR","6.28192","37.2366"
"210","2008","Jordan","Jul","JOR","28.3124","0.599"
"211","2008","Jordan","Jun","JOR","27.1635","0.00166"
"212","2008","Jordan","Mar","JOR","17.5087","0.77662"
"213","2008","Jordan","May","JOR","22.1282","0.99181"
"214","2008","Jordan","Nov","JOR","16.2711","2.31206"
"215","2008","Jordan","Oct","JOR","21.2289","5.01511"
"216","2008","Jordan","Sep","JOR","26.624","0.36067"
"217","2009","Jordan","Apr","JOR","18.793","1.29042"
"218","2009","Jordan","Aug","JOR","28.2567","0.00133"
"219","2009","Jordan","Dec","JOR","12.7946","13.4504"
"220","2009","Jordan","Feb","JOR","11.6046","27.5807"
"221","2009","Jordan","Jan","JOR","9.49099","3.09231"
"222","2009","Jordan","Jul","JOR","28.2254","0.61581"
"223","2009","Jordan","Jun","JOR","27.2863","0.00857"
"224","2009","Jordan","Mar","JOR","13.251","11.8585"
"225","2009","Jordan","May","JOR","22.5811","2.26263"
