"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"445","1938","Namibia",24.3383,23.7925,23.2571,20.2079,17.4857,15.2786,14.2043,15.568,17.6924,21.4386,20.8902,23.4195,87.4526,56.9942,14.5574,31.1253,12.0088,3.47615,1.03642,0.00674,0.35666,12.6372,68.7528,34.7717
"457","1939","Namibia",24.4135,22.853,22.1116,19.7517,17.3997,15.0549,14.716,15.1224,18.0902,21.4504,22.4938,23.9853,40.0926,37.5043,100.092,14.2431,4.77418,2.17822,2.05607,2.34246,1.11216,20.1064,28.1476,49.9539
"469","1940","Namibia",24.7685,24.2637,22.6148,19.9576,16.8072,15.0563,14.3882,17.566,18.6742,22.4436,22.3243,25.1695,67.7734,54.346,62.6515,21.3758,0.227,3.17119,0.3336,0.03145,6.21523,7.01711,15.3584,43.2828
"481","1941","Namibia",24.7369,24.4419,23.7934,21.391,18.5233,15.5458,15.5013,17.2402,17.9017,22.9368,22.9408,23.9363,47.233,40.5253,12.3758,16.8097,0.59517,1.296,0.24611,0.47937,0.71718,16.7041,2.99078,18.1529
"493","1942","Namibia",25.04,25.5291,23.2967,20.8839,17.0705,15.0204,14.9964,16.4366,19.5529,20.7845,23.6114,23.5444,27.695,103.277,69.3241,36.7258,3.41831,1.12471,0.0034,0.21057,2.31505,20.3886,17.345,66.2436
"505","1943","Namibia",24.1965,23.3742,23.2513,20.3905,16.9936,14.575,13.8373,14.4643,18.777,22.56,22.3225,23.4283,30.5883,30.528,44.7429,41.3026,1.55217,0.20342,0.20677,1.49164,1.24644,1.13637,31.026,68.6502
"517","1944","Namibia",24.8252,23.8594,23.2246,21.4416,15.933,13.7965,14.7769,17.081,18.2495,23.2866,23.6211,24.668,127.732,85.1024,46.256,1.50426,1.90436,0.88384,0.49686,0.62718,0.65412,4.68042,17.5044,23.4917
"529","1945","Namibia",25.234,25.9948,22.9848,22.1031,16.863,13.7064,14.6161,17.5669,21.4584,21.2581,24.0113,24.0489,37.7672,45.9319,48.7227,6.06102,1.16289,0.22447,0.64076,0.1464,0.02613,2.27494,52.2241,63.3344
"541","1946","Namibia",24.4178,24.7298,22.9079,21.5001,17.6384,15.1725,14.4854,15.8666,19.3284,21.5441,23.595,25.0251,30.0336,24.9821,13.3073,10.3381,0.70568,0.04594,0.01475,0.03812,1.57742,4.15446,14.2711,44.0718
"553","1947","Namibia",25.0233,25.7865,23.1817,21.3234,17.8651,14.6703,12.2371,16.8431,18.6542,22.4833,23.7933,23.8739,57.3733,71.7596,66.5785,23.4782,2.42465,1.96634,0.17744,0.06526,2.69622,3.23214,14.5922,51.6907
"565","1948","Namibia",24.0717,23.9334,21.7752,20.1384,18.0099,15.2878,14.7535,17.4355,18.1372,21.4208,22.3212,24.0693,47.2372,88.6044,31.3734,13.0868,2.41894,0.0211,0.79856,0.08621,0.06545,5.57744,33.6111,11.1245
"577","1949","Namibia",25.8177,23.8807,22.7852,20.9391,17.8687,15.8365,14.8989,16.1557,20.0234,22.6612,22.2944,24.0948,54.2886,28.1487,95.9854,29.1657,0.86004,0.94276,0.02409,0.64971,0.19827,3.21349,17.3906,24.1065
"589","1950","Namibia",25.1584,24.1954,23.1458,19.6317,16.3153,15.871,13.6747,15.7071,19.1325,21.2167,22.3363,23.4523,91.269,117.028,116.173,47.9407,16.7091,0.8933,1.21041,0.66811,2.66732,1.36325,35.5633,71.7814
"601","1951","Namibia",23.3263,24.0557,22.5442,20.9839,17.6161,14.2832,13.728,15.8621,18.682,21.0983,23.1053,24.4443,31.3152,74.3698,37.9049,41.7005,11.6607,1.84565,0.14049,0.4491,1.62376,15.5406,25.0617,47.2843
"613","1952","Namibia",24.6642,23.763,22.8927,21.2732,16.5019,15.4136,14.0044,15.7938,18.6036,22.2424,23.263,23.7778,28.5966,109.66,5.74554,5.73682,0.4971,2.00123,0.66887,0.31511,0.88215,14.7437,29.6056,21.9663
"625","1953","Namibia",25.0583,23.5191,22.7611,19.8386,17.4722,13.2838,13.5147,15.1022,18.9481,22.1069,22.5909,23.7285,47.1534,108.002,39.1064,30.1854,4.98114,0.06031,0.29867,0.94268,1.57131,17.1857,23.2717,62.3915
"637","1954","Namibia",24.0101,23.7315,22.0275,19.9291,16.417,14.2108,12.2828,15.2313,19.235,21.758,22.1955,23.7519,72.4618,82.1125,129.513,26.2649,2.91889,0.02112,0.58355,0.16514,3.12224,6.78299,19.3405,49.5836
"649","1955","Namibia",23.851,22.3847,22.4358,19.652,17.8483,13.9206,13.4164,14.5792,18.3837,20.2377,22.1655,22.601,66.8082,58.4722,69.6304,23.7168,2.0233,3.72277,1.3284,0.53325,0.02309,14.3769,32.0059,38.1244
"661","1956","Namibia",24.346,22.1913,21.7755,20.0594,15.7159,13.9143,14.2507,15.274,18.0805,21.576,23.0168,22.8726,84.5081,102.767,105.164,15.3206,2.05601,0.31794,0.49782,0.07633,3.84838,3.542,23.5093,21.3543
"673","1957","Namibia",24.6831,23.6337,23.1498,20.3407,17.296,13.4016,14.569,15.794,18.8887,20.2464,23.6828,24.4276,63.8428,74.9466,75.6483,8.85809,3.51987,0.84236,0.34669,0.73299,4.02955,15.9672,50.2197,53.08
"685","1958","Namibia",24.3932,23.3205,22.884,20.7106,16.5948,14.0993,14.4836,15.7867,19.2841,21.1265,23.0622,24.5087,79.8144,61.048,36.548,7.96442,2.3556,0.15881,0.02102,0.10282,2.19487,5.62594,15.2369,44.193
"697","1959","Namibia",23.7301,24.144,23.0094,20.518,15.5273,15.2974,14.7317,15.8117,19.5802,21.4415,23.3991,23.9708,43.0051,55.0033,31.6059,18.8231,4.54678,1.72048,0.19039,0.27213,0.18903,1.62239,14.3612,29.1568
"709","1960","Namibia",24.4017,23.7506,22.4106,20.1126,16.2715,14.5079,13.7441,16.8564,19.9024,22.3352,23.7176,24.1207,24.3925,121.111,28.7252,16.9428,5.42278,1.52525,0.0233,0.40499,1.73356,6.5209,24.8563,19.1792
"721","1961","Namibia",23.7234,23.6964,22.4382,20.4953,16.3264,14.6138,15.6318,15.5886,19.9749,21.2842,22.834,23.3007,28.7251,44.5932,59.1328,42.8177,9.97424,10.5757,0.97373,0.13022,1.16125,1.13215,37.1806,25.1068
"733","1962","Namibia",24.3366,23.1274,22.9085,20.1027,17.2137,14.313,14.204,16.085,19.3042,22.0879,22.1978,24.1213,34.0159,70.7173,12.3743,9.74958,0.05658,0.45571,0.5144,2.67639,0.38538,14.1113,18.2797,19.4686
"745","1963","Namibia",23.9443,23.6807,22.6523,19.9552,16.4879,14.1462,13.5192,15.9367,20.8957,22.1068,23.1119,24.2924,140.88,25.5679,85.5923,45.6238,5.63774,1.37884,0.49753,1.7022,2.36696,9.18367,69.1957,32.6544
"757","1964","Namibia",24.6339,24.0227,23.312,20.5016,17.6263,13.0217,13.6446,15.291,18.1761,21.0014,21.984,23.6567,22.5398,32.8097,26.6728,6.15784,0.68362,1.25776,0.32994,0.52175,1.05587,6.5421,12.4061,24.6521
"769","1965","Namibia",24.1335,23.8345,22.512,20.0594,16.9902,13.396,13.9339,16.7016,20.0481,20.4408,22.6078,23.5514,44.1687,44.1463,42.4143,38.1201,0.03937,0.73721,0.74256,0.07747,5.35204,3.78543,30.2345,15.2482
"781","1966","Namibia",24.756,22.5984,22.5553,20.3823,16.9675,15.7685,13.6579,16.0565,18.9723,22.6283,23.6078,24.5416,101.23,48.3113,55.3076,24.1094,0.04944,2.21904,0.06574,0.31153,14.0532,8.80252,5.64279,49.0424
"793","1967","Namibia",23.5351,23.1506,21.9687,19.0697,16.6724,14.096,13.3958,15.9635,19.6164,21.5923,23.4087,24.6486,71.8804,76.3388,63.0626,24.6157,9.52774,0.97357,0.04604,0.33185,1.31366,5.61021,82.2415,46.206
"805","1968","Namibia",24.1257,22.9153,22.0322,19.5612,16.7272,12.5715,13.8016,15.7441,19.624,21.7795,23.4619,23.8265,51.8062,29.1956,111.124,10.979,14.9279,2.43668,0.13104,0.11803,0.29647,3.90226,42.2885,20.3878
"817","1969","Namibia",25.022,24.212,22.9312,20.0761,16.8926,14.2836,14.6317,16.8329,18.6881,20.9298,23.088,24.0929,45.5152,88.4535,66.0232,12.0732,1.50552,0.28029,0.2846,0.10205,0.57952,5.12364,27.6751,18.5595
