"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"709","1960","France",3.1292,4.74703,7.98201,9.5378,14.5766,17.6754,16.8179,17.3068,14.344,11.0475,8.23086,3.04732,70.7891,72.3629,83.3964,22.9467,54.325,68.9428,85.2768,106.307,109.078,163.311,104.359,98.6424
"721","1961","France",3.16961,7.34383,8.07103,11.7598,12.5315,16.7146,17.7418,17.8555,18.5682,12.2888,6.19707,4.35235,95.1072,47.2175,7.17757,82.6658,60.1019,56.038,59.8399,31.0565,54.1774,100.482,98.5174,82.4064
"733","1962","France",4.69997,3.43905,3.82236,9.08865,11.5158,15.8442,17.6795,18.7108,15.4448,11.7763,5.01708,0.91417,85.0691,54.2914,83.0121,67.4713,72.5632,25.7672,42.3111,33.0498,65.8301,50.3938,99.5098,78.1935
"745","1963","France",-1.7497,-0.609,6.29772,9.63992,12.1601,15.7891,18.5954,16.4073,15.0938,11.1728,9.19442,0.89365,50.191,57.0551,77.9745,70.167,54.6574,111.306,49.0979,133.627,75.8211,43.5201,116.809,35.3331
"757","1964","France",0.67696,5.04595,5.39934,9.56292,14.5938,16.9058,19.7614,18.2525,16.7165,9.54793,6.79665,2.80064,21.4306,65.835,88.5565,67.5621,67.6559,52.4468,32.4477,56.8417,63.8476,82.913,56.6421,65.1922
"769","1965","France",3.39792,1.32532,6.46908,8.67083,12.7091,16.1955,16.7105,17.0563,13.6086,12.009,6.26721,5.64021,96.2648,15.7785,82.2613,53.0118,72.5456,55.5447,75.241,89.4343,151.336,46.3045,115.517,135.913
"781","1966","France",2.25897,7.74801,5.9979,10.4911,13.1363,17.0347,16.7447,17.109,16.4977,12.7616,4.81994,5.1355,74.9784,99.9486,34.8155,93.9467,67.2058,66.7875,65.5057,71.5726,35.2415,139.097,98.2949,101.526
"793","1967","France",3.08599,5.21843,7.62006,8.75218,12.4134,15.5087,19.9125,18.1002,15.2547,13.2753,6.84544,2.40142,43.2671,60.2825,52.3761,33.8549,91.9233,38.6382,29.4191,59.183,80.959,74.8547,96.733,64.003
"805","1968","France",3.0022,4.21842,6.67803,9.8242,11.6806,15.815,17.8029,17.1487,15.0464,13.3058,6.5108,2.98668,73.8478,81.111,38.035,67.4207,90.0536,64.4563,62.5473,111.401,118.315,49.0404,76.7006,79.998
"817","1969","France",4.41502,2.00534,6.24188,9.1817,13.1519,14.8245,19.1876,18.0896,15.6971,12.6245,6.88228,0.96551,59.7846,57.4695,84.4429,78.2433,92.2836,79.6697,51.0351,64.8971,82.0602,17.3281,102.583,70.1934
"829","1970","France",3.81423,4.33924,4.23706,7.55829,12.8372,17.6695,17.8412,18.3273,16.5509,10.9579,8.45609,2.14766,82.8848,107.146,66.9228,67.4081,58.1469,82.147,38.3501,69.9569,38.7336,75.1919,83.3581,46.5781
"841","1971","France",2.66371,3.90981,3.55274,10.62,13.7324,14.839,19.7402,18.7982,15.6107,11.9946,5.29692,4.23354,81.8201,33.7612,69.6079,66.3639,95.7075,94.349,55.0168,71.01,45.7501,26.5261,93.062,43.6041
