"Country","ColdMonthsT","HotMonthsT","ColdMonthsR","HotMonthsR"
"Italy",-0.656341119220805,-0.570336746460497,0.162113557848928,-0.156745307517257
"Jamaica",0.80901620061744,0.688767294306756,1.16217413110243,1.15908644345705
"Jordan",-0.091150757642613,0.531681796741007,-0.734041867335354,-0.916136802368
"Kazakhstan",-1.68732047837404,-0.48815700932761,-0.708792466028877,-0.687275057926273
"Kenya",0.859654254733415,0.348156129534295,-0.260946934497086,-0.271975236868194
"Kiribati",1.08712246921565,0.95502177459361,0.210027061272058,0.217055573150531
"Laos",0.569550536415998,0.680635337047626,-0.253585450663067,1.61104430236838
"Luxembourg",-0.899542926071436,-1.0052614633025,0.0948696817310674,-0.0953602057824255
"Marshall Islands",-0.150006671785511,0.258345974197467,-0.44232608152493,-0.778328148797096
"Martinique",-0.150006671785511,0.258345974197467,-0.44232608152493,-0.778328148797096
"Mexico",0.232208615095762,0.432975150855846,-0.57566520104228,0.0634033680243293
"Mozambique",0.940727251415563,0.023674366950611,0.876727873269071,-0.626794490060991
"Namibia",0.718371990800778,-0.70731720607926,-0.402929982588517,-0.887931523306028
"Nicaragua",0.80291669339064,0.619481434316573,0.811139848069641,1.79193722938599
"North Korea",-1.68243882625066,-2.06706551488513,0.195547427328034,-0.0697258318699503
"Norway",-1.68243882625066,-2.06706551488513,0.195547427328034,-0.0697258318699503
"Pakistan",-0.0574657308865425,0.857278235468266,-0.704843285611923,-0.593691857330951
"Panama",0.865985575155808,0.654606094151121,1.25128462888757,1.74660530692899
"Peru",0.443552330969882,-0.367587565371331,1.14328743208135,0.166164720325982
"Poland",-1.09660587430877,-0.982093097294234,-0.461735026620478,-0.237806617478869
"Qatar",0.630236923163173,1.83600975056698,-0.83017630917832,-0.92450430272316
"Russia",-2.84168839060634,-2.06052070501401,-0.649629502559995,-0.424433221723751
"Rwanda",0.365248840073112,-0.351759634829858,0.595237136946321,-0.0564308610512758
"Saudi Arabia",0.443308427551518,1.40576363296271,-0.86664373772063,-0.877313781980024
"Senegal",1.04061079753467,1.23375050839099,-0.820875838235781,0.372188702612859
"Somalia",0.969382534358996,0.988002193354833,-0.726907187156759,-0.643537861277375
"Suriname",0.9345006985985,0.71327052732106,1.0935135238091,1.75098135934928
"Sweden",-1.6816373928882,-1.81660645319294,-0.366853527484278,-0.293025376058614
"Syria",-0.26985077005844,0.623955476533049,-0.414646701978495,-0.841358743534008
"Thailand",0.878823897403474,0.971697246532805,-0.265094285807217,1.32193604742475
"Tonga",0.896500695247632,0.328267621940734,1.24060878810211,0.311968721499126
"Tunisia",-0.0278961792107015,0.657227412267507,-0.539378090324827,-0.803525751067431
"Turkey",-0.827333429299566,-0.430549165219833,-0.145176145190341,-0.572202737590727
"Turkmenistan",-0.827333429299566,-0.430549165219833,-0.145176145190341,-0.572202737590727
"Tuvalu",1.14160669553786,1.04442799058843,2.99028463435528,1.56827851925938
"Uganda",0.681926170704987,0.0966547551005658,0.0851414611193356,0.409453750214221
"Ukraine",-1.20743363016217,-0.658212825232039,-0.462830302195204,-0.339212480659105
"Uzbekistan",-0.992329015960943,0.19955941692187,-0.67694471479012,-0.819022452938908
"Venezuela",0.904462245491263,0.603004296714123,0.211840294079475,1.65507313855755
"Yemen",0.485474852730542,0.816642827586238,-0.837834193934653,-0.729220414504288
