"Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMinTemperature","AMaxTemperature","APrecipitation"
"Belize",-0.723347229520184,-0.753538822058903,-0.801532521106695,-0.960130824959003,-0.981564203583858,-0.987691561598005,-0.920678579972665,-0.93298930755494,-0.994475791785475,-0.949568025841232,-0.878390890002439,-0.767863324960298,0.025894140673896,-0.0948755125503965,-0.154534213071726,-0.262002687888939,-0.270362049209778,-0.160703799128821,-0.083800236577278,-0.104121837577246,-0.138641337372134,-0.0691996376082538,0.0545064984040516,0.114749364122987,-0.687135263206024,-0.660833891460428,-0.656963548052104,-0.141907924984515
"Benin",1.04384937590816,1.15855837327972,1.27309988729751,1.32294062086178,1.21162504819622,0.890257032792918,0.607003142848894,0.501173577186086,0.769584015805972,1.01320740915218,1.08075526103544,1.05357201488996,-0.860015552379418,-0.769656609449278,-0.464533356629628,-0.0920995882723394,0.329048528232842,0.678577814719977,0.925146946207955,1.25451599942865,1.320611798954,0.0791690527927487,-0.849698083224127,-0.968348511096752,1.01180513790742,1.00242839441835,0.960166973812545,0.158687418434061
"Bolivia",0.758771897492368,0.702481750504362,0.581448540767042,0.344818471577427,-0.132304445696837,-0.655513370242322,-0.910793748269591,-0.602067921478085,0.0634031965113109,0.445578384561444,0.663406626206906,0.756430319698599,1.33417249340883,1.40687280333728,0.875860692570711,0.0403252100849941,-0.423216695832653,-0.580913529423348,-0.688782541950449,-0.665344056017951,-0.431878100184666,0.0585834728706287,0.490576286033091,1.15225680337761,0.226928568908845,0.281127414433706,-0.0239840358232231,0.206587112156229
"Brazil",0.980991649536556,0.939249209610128,0.872751246984186,0.771575721137259,0.55533785191216,0.281508394137933,0.121575533947213,0.304444151871923,0.654424747008022,0.847229135327489,0.934823513271811,0.987682889650235,1.92032558302953,2.11972224847217,2.13132718143467,1.35171904357681,0.389344483822912,-0.0660554203594658,-0.25750709736528,-0.344384215453062,-0.079148807450225,0.454391412519892,1.09381654996342,1.78639143628266,0.766655334064312,0.832843458243513,0.522805142305527,1.1184885672735
"Canada",-2.67183943644941,-2.69732238630746,-2.85527792491679,-2.89831181567098,-2.74296937647225,-2.36437968333761,-2.09111891078656,-2.34053542522882,-2.65917065711401,-2.65082959544156,-2.68364727423464,-2.66855124587131,-0.556881253974947,-0.590983341819059,-0.602192101866315,-0.678871914366403,-0.601523144127364,-0.398741281574217,-0.311787530824109,-0.334147815580769,-0.398713374523822,-0.481630132121978,-0.522881358592793,-0.600998591831528,-2.46961022742709,-2.17723853723373,-2.39945600484453,-0.701920399223028
"Colombia",0.901158121425627,0.880175500824645,0.833147490692626,0.735505508824454,0.561018276470586,0.342613283192582,0.198994258914088,0.274397654765692,0.511706020199011,0.679143987725856,0.810673690352797,0.883083449696466,0.562405615009832,0.716876506718238,1.32104584222187,2.2131733401521,2.25245124744299,2.15547305077104,2.04200875032404,1.7387322841826,1.71462400640393,2.04559403761316,1.89687111716296,1.10884753088682,0.648504334305789,0.79095106295852,0.338077252449445,2.36750714758454
"Comoros",1.05373071892953,1.00169424295582,0.984051556834926,0.923869472162501,0.750941212778586,0.394334780189107,0.13142765691805,0.221707618208124,0.54737057248102,0.850648466220222,1.02271423932344,1.06913133110547,2.79605667548697,2.40641833939361,1.81971774443299,1.6212099016195,0.329851895624738,0.293990496559218,0.0182720213059587,-0.0480682328128437,-0.578080251753397,-0.383903721017675,-0.0681196944078276,1.33549670410395,0.910274727308662,0.9602539469411,0.569286903846413,1.0262574550798
"Cuba",0.760258017893594,0.722950200570348,0.732058834116501,0.750697507078531,0.807250643785371,0.860152979619729,0.868948575762568,0.900248475458577,0.949513234420701,0.907677980878798,0.827243924696854,0.797893738546229,-0.407705643725432,-0.432800743331051,-0.285682725455043,7.57276168364553e-05,0.879679445111943,1.06513321081281,0.591080264359337,0.800478514755944,1.4411644630935,0.940594703711196,0.0167948788171522,-0.489999898180917,0.877388014346751,0.82622157110057,0.84556026596844,0.556733990719911
"Cyprus",-0.126142228946706,-0.159936764128035,-0.182904788125863,-0.122194374847895,0.0817352618119956,0.471362868303501,0.857787313436263,0.918917831811019,0.624369368834375,0.324432330411702,0.076156360868367,-0.0716268009160101,0.405604909551287,0.16598786184422,-0.290826604023141,-0.65949414325935,-0.717625011721999,-0.839450441133046,-0.916756346833875,-0.928282917672587,-0.903246830015392,-0.640940786547662,-0.25965706882664,0.500692555224049,0.0967445969574519,-0.0642285671675858,0.375733499158437,-0.650676056238403
"Czech Republic",-1.06741143133117,-1.04872893076597,-1.03317788152261,-1.06066884480036,-1.0061984011016,-0.979304280342378,-0.922253023489608,-0.96788574283282,-1.15442299393482,-1.18815790078732,-1.15050149213464,-1.09635672503434,-0.380310853648659,-0.412255557000122,-0.41007405061456,-0.389684330091291,-0.208060707168663,-0.0400405051987172,0.0474603257001444,-0.0572075661574797,-0.303655768494059,-0.394892379232401,-0.393878307837874,-0.360968164773007,-1.21370219884702,-1.05584439318748,-1.29921655962512,-0.368016857117259
"Djibouti",0.837095797799344,0.863174346070962,0.933317002813493,1.06688983517744,1.28559725402489,1.60382892977027,1.72608801462138,1.59235468637042,1.40671269158415,1.06672401272618,0.919087713737044,0.847122657336852,-0.810848464747472,-0.745939505464718,-0.551358432841485,-0.646271050874436,-0.770503968849509,-0.865098574052563,-0.514663552749009,-0.335861813303726,-0.63330086527949,-0.852178871931616,-0.843783857306316,-0.912015451266121,1.14914419569951,0.965531106248369,1.27579131609054,-0.987149150327558
